Metric,Mean,CI_Lower,CI_Upper,Formatted_CI
BLEU-1,0.8551879125198016,0.8310160705170447,0.8786526288148374,"[0.831, 0.879]"
BLEU-2,0.685179460342463,0.6521603665899804,0.7181174776275407,"[0.652, 0.718]"
BLEU-3,0.5495153524696665,0.5109049156648887,0.5880338498521511,"[0.511, 0.588]"
BLEU-4,0.42663216417101824,0.3844742757621952,0.4704056963457686,"[0.384, 0.470]"
ROUGE-1,0.6671178063442527,0.6426514643830192,0.6915125568977532,"[0.643, 0.692]"
ROUGE-2,0.451207303261303,0.41700511030109444,0.4869938615204909,"[0.417, 0.487]"
ROUGE-L,0.6358256917074547,0.6076300053768381,0.6638769451866348,"[0.608, 0.664]"
METEOR,0.6370015137635253,0.606755507841251,0.6673407514477514,"[0.607, 0.667]"
CIDEr,1.146614561135156,1.0041496888612567,1.2986123494457595,"[1.004, 1.299]"
BERTScore,0.7059513252973556,0.684756082482636,0.7273087470754982,"[0.685, 0.727]"
CLIPScore,33.7281593978405,33.157810339331625,34.29444489404559,"[33.158, 34.294]"
RefCLIPScore,87.90158498287201,86.51122534424067,89.20584660619497,"[86.511, 89.206]"
Distinct-1,0.37880704943870147,0.36624212104655807,0.3917018297724708,"[0.366, 0.392]"
Distinct-2,0.6211912434010786,0.5999903037162038,0.64218436597295,"[0.600, 0.642]"
