Metric,Mean,CI_Lower,CI_Upper,Formatted_CI
BLEU-1,0.6194869416510147,0.5906814627810738,0.64798672980021,"[0.591, 0.648]"
BLEU-2,0.4509548908902634,0.42185290130665226,0.4813475651102875,"[0.422, 0.481]"
BLEU-3,0.3138443213697182,0.28399673583883944,0.3448567967427485,"[0.284, 0.345]"
BLEU-4,0.21969327392108862,0.19253612283032423,0.2485032363170919,"[0.193, 0.249]"
ROUGE-1,0.5347066596939176,0.5137608423260233,0.5553620723126541,"[0.514, 0.555]"
ROUGE-2,0.3043119038127104,0.28245079990617317,0.32759635945981663,"[0.282, 0.328]"
ROUGE-L,0.478156154455624,0.4568892547221918,0.50017830381127,"[0.457, 0.500]"
METEOR,0.5406153926464079,0.5152068491902154,0.5660628457631901,"[0.515, 0.566]"
CIDEr,0.5873001038112556,0.4944866413780988,0.6899375000325193,"[0.494, 0.690]"
BERTScore,0.5762605407834053,0.5573792183920742,0.5953393503651023,"[0.557, 0.595]"
CLIPScore,31.357542723417282,30.71528620198369,32.0059598851949,"[30.715, 32.006]"
RefCLIPScore,82.55066978931427,81.31342167258262,83.76111324280501,"[81.313, 83.761]"
Distinct-1,0.43557883156088195,0.4237607171398316,0.4473313553381359,"[0.424, 0.447]"
Distinct-2,0.7641499259274219,0.7483112573409412,0.7797001739265877,"[0.748, 0.780]"
