Metric,P_Value,Formatted_P,Significance,Direction
BLEU-1,1.0810616246895023e-15,1.08e-15,Sig,(-)
BLEU-2,5.493717497178969e-14,5.49e-14,Sig,(-)
BLEU-3,3.3401858883436174e-12,3.34e-12,Sig,(-)
BLEU-4,3.9466942854531636e-09,3.95e-09,Sig,(-)
ROUGE-1,9.344464112372099e-10,9.34e-10,Sig,(-)
ROUGE-2,1.4232624962044907e-07,1.42e-07,Sig,(-)
ROUGE-L,1.1180556802739493e-10,1.12e-10,Sig,(-)
METEOR,0.0012896543207021507,0.001,Sig,(-)
CIDEr,1.9680740218844173e-08,1.97e-08,Sig,(-)
BERTScore,2.3453643774931896e-10,2.35e-10,Sig,(-)
CLIPScore,3.3417098558616544e-06,3.34e-06,Sig,(-)
RefCLIPScore,2.493510419546351e-05,2.49e-05,Sig,(-)
Distinct-1,0.14299558373008794,0.143,Not Sig,(+)
Distinct-2,5.551479519412731e-07,5.55e-07,Sig,(+)
