Metric,P_Value,Formatted_P,Significance,Direction
BLEU-1,7.683082893987886e-05,7.68e-05,Sig,(+)
BLEU-2,0.0004530336131755067,4.53e-04,Sig,(+)
BLEU-3,0.00011123624528893801,1.11e-04,Sig,(+)
BLEU-4,5.1141812114637424e-05,5.11e-05,Sig,(+)
ROUGE-1,2.1496460013441017e-05,2.15e-05,Sig,(+)
ROUGE-2,2.5965932766781948e-05,2.60e-05,Sig,(+)
ROUGE-L,4.074560530283589e-06,4.07e-06,Sig,(+)
METEOR,0.00040574333239549835,4.06e-04,Sig,(+)
CIDEr,6.275353012557241e-05,6.28e-05,Sig,(+)
BERTScore,1.1235299519290757e-06,1.12e-06,Sig,(+)
CLIPScore,0.0006726193132462759,6.73e-04,Sig,(+)
RefCLIPScore,1.261536337135473e-05,1.26e-05,Sig,(+)
Distinct-1,4.285347237583548e-06,4.29e-06,Sig,(-)
Distinct-2,1.1227625712821653e-08,1.12e-08,Sig,(-)
