Metric,Mean,CI_Lower,CI_Upper,Formatted_CI
BLEU-1,0.8403300005754459,0.8176505910616608,0.8630910695973676,"[0.818, 0.863]"
BLEU-2,0.6604790101680135,0.6261092925824359,0.6940528407370862,"[0.626, 0.694]"
BLEU-3,0.5227168124839721,0.4838475535836141,0.5621877579488719,"[0.484, 0.562]"
BLEU-4,0.3962952961281793,0.3566582255016499,0.43895975961709427,"[0.357, 0.439]"
ROUGE-1,0.6526629579681714,0.6274037216717493,0.6784917658189176,"[0.627, 0.678]"
ROUGE-2,0.4290198553364612,0.3960303837673574,0.4635778016842018,"[0.396, 0.464]"
ROUGE-L,0.6171025055867783,0.5892018530482624,0.6460887677446987,"[0.589, 0.646]"
METEOR,0.6285439511711151,0.5985037735818477,0.65795210925659,"[0.599, 0.658]"
CIDEr,1.1153652188324314,0.9786358873992265,1.2527548582321106,"[0.979, 1.253]"
BERTScore,0.6945413190126419,0.6734269685149192,0.716044038876891,"[0.673, 0.716]"
CLIPScore,33.382929027080536,32.82790824994445,33.938329585641625,"[32.828, 33.938]"
RefCLIPScore,87.49746525287628,86.05942665785551,88.82284402400255,"[86.059, 88.823]"
Distinct-1,0.3925819149490009,0.37819937758957073,0.40688887389072986,"[0.378, 0.407]"
Distinct-2,0.6522119386902274,0.6281741587739271,0.6764492597892711,"[0.628, 0.676]"
