Metric,Mean,CI_Lower,CI_Upper,Formatted_CI
BLEU-1,0.748601999070372,0.7240610609342303,0.7730461915419254,"[0.724, 0.773]"
BLEU-2,0.5667245050979494,0.5366304397590242,0.5969457785259049,"[0.537, 0.597]"
BLEU-3,0.41291185820971615,0.3816304643102998,0.44476015796994367,"[0.382, 0.445]"
BLEU-4,0.2910517263043218,0.2588956595914146,0.32368266005609725,"[0.259, 0.324]"
ROUGE-1,0.616417073976264,0.596997586391998,0.6359872829838789,"[0.597, 0.636]"
ROUGE-2,0.36816557677035283,0.3429044462098662,0.39437929700005236,"[0.343, 0.394]"
ROUGE-L,0.5675092994849228,0.5446920192434513,0.5909271025561107,"[0.545, 0.591]"
METEOR,0.6055387261106514,0.5781625493881419,0.6326529818948072,"[0.578, 0.633]"
CIDEr,0.9408711281000431,0.8275528909005395,1.0650322144535447,"[0.828, 1.065]"
BERTScore,0.6533049994707107,0.6345837870538235,0.6719752871245146,"[0.635, 0.672]"
CLIPScore,32.684265077114105,32.155681730806826,33.223383345454934,"[32.156, 33.223]"
RefCLIPScore,86.23046892881393,84.99862298965454,87.43673385381699,"[84.999, 87.437]"
Distinct-1,0.4330079320098714,0.4210918479815875,0.4449339302420082,"[0.421, 0.445]"
Distinct-2,0.7305250947669903,0.712097079144416,0.7480340642658124,"[0.712, 0.748]"
