Metric,Mean,CI_Lower,CI_Upper,Formatted_CI
BLEU-1,0.560333239178471,0.5375963557995433,0.583407023899798,"[0.538, 0.583]"
BLEU-2,0.346785225994527,0.3204624428782516,0.37321811138524735,"[0.320, 0.373]"
BLEU-3,0.22261956886361273,0.19915121076093895,0.24690629631160327,"[0.199, 0.247]"
BLEU-4,0.1392232613332712,0.11955754403437925,0.15965092562255598,"[0.120, 0.160]"
ROUGE-1,0.4631001162364373,0.44497917308819096,0.4812575279346786,"[0.445, 0.481]"
ROUGE-2,0.21551860371572984,0.19540096431661466,0.2364363369117363,"[0.195, 0.236]"
ROUGE-L,0.3951371531649662,0.37636447582179067,0.41438705030601924,"[0.376, 0.414]"
METEOR,0.45168152350862656,0.4271850843588355,0.4761998565717177,"[0.427, 0.476]"
CIDEr,0.36688376138687606,0.3060119218791116,0.43151871019635146,"[0.306, 0.432]"
BERTScore,0.4857835456728935,0.4664870802089572,0.5057214159443975,"[0.466, 0.506]"
CLIPScore,31.18059043586254,30.579298980161546,31.77530800513923,"[30.579, 31.775]"
RefCLIPScore,82.01089978218079,80.74404579550028,83.25145367980004,"[80.744, 83.251]"
Distinct-1,0.6705717520979338,0.6526748603554373,0.6893258285495816,"[0.653, 0.689]"
Distinct-2,0.9614530023721513,0.9546057296902793,0.9680551614889282,"[0.955, 0.968]"
