Metric,Mean,CI_Lower,CI_Upper,Formatted_CI
BLEU-1,0.7562971281460236,0.7308365387383505,0.7818136913093617,"[0.731, 0.782]"
BLEU-2,0.5846330912566094,0.5547693336926071,0.6143740828858758,"[0.555, 0.614]"
BLEU-3,0.4439324612897678,0.41038460318409553,0.47851635777875623,"[0.410, 0.479]"
BLEU-4,0.3327333862048772,0.2966645936696169,0.36977751821025795,"[0.297, 0.370]"
ROUGE-1,0.6306805115778612,0.6080596103522473,0.6532404350001209,"[0.608, 0.653]"
ROUGE-2,0.3972909222967704,0.3717387168731903,0.4239810552569482,"[0.372, 0.424]"
ROUGE-L,0.5871805609221138,0.5630723155846367,0.6112185443562727,"[0.563, 0.611]"
METEOR,0.6509285941746189,0.6253926283255853,0.6766994001387538,"[0.625, 0.677]"
CIDEr,1.0921904795030801,0.9565311242962453,1.239446859944618,"[0.957, 1.239]"
BERTScore,0.671164730489254,0.6509893753379583,0.6910203517079353,"[0.651, 0.691]"
CLIPScore,33.00981022417545,32.439885972067714,33.579549263045195,"[32.440, 33.580]"
RefCLIPScore,87.87965077161789,86.79746411889792,88.89200529605151,"[86.797, 88.892]"
Distinct-1,0.408847328861469,0.3971293758072139,0.4203334977877709,"[0.397, 0.420]"
Distinct-2,0.7039702196410831,0.6858373694060496,0.7215918877281461,"[0.686, 0.722]"
