Metric,Mean,CI_Lower,CI_Upper,Formatted_CI
BLEU-1,0.7241057039276103,0.7066099180714511,0.7418029644080625,"[0.707, 0.742]"
BLEU-2,0.5560700605034017,0.532877371005136,0.5788493261159091,"[0.533, 0.579]"
BLEU-3,0.43430421317110246,0.40751573554369797,0.46120452781558835,"[0.408, 0.461]"
BLEU-4,0.32599488474202687,0.2954610423417338,0.3567246974311232,"[0.295, 0.357]"
ROUGE-1,0.666456761588084,0.6424575143241288,0.6899692932486067,"[0.642, 0.690]"
ROUGE-2,0.448316698149078,0.41513549583407533,0.4823052938939345,"[0.415, 0.482]"
ROUGE-L,0.6369523002002402,0.6105967983590128,0.6635367924996132,"[0.611, 0.664]"
METEOR,0.6073278310458637,0.5772873918623687,0.6363508793966774,"[0.577, 0.636]"
CIDEr,0.9195677757750833,0.8142992129194863,1.0295962095949973,"[0.814, 1.030]"
BERTScore,0.57843142837286,0.5591447884142399,0.5975217725485563,"[0.559, 0.598]"
CLIPScore,32.12270927429199,31.543891777098178,32.70176040604711,"[31.544, 32.702]"
RefCLIPScore,87.03099763393402,85.99483469128609,88.0612661153078,"[85.995, 88.061]"
Distinct-1,0.38847016886825225,0.377810713114698,0.3992475787312612,"[0.378, 0.399]"
Distinct-2,0.6227970468972088,0.6063715604419136,0.6398755267611478,"[0.606, 0.640]"
