Metric,Mean,CI_Lower,CI_Upper,Formatted_CI
BLEU-1,0.6863198964679762,0.6591781086008561,0.7124090072140948,"[0.659, 0.712]"
BLEU-2,0.5132071349997619,0.4825316977538428,0.5434726483408081,"[0.483, 0.543]"
BLEU-3,0.38485777767286455,0.35389746446359716,0.4172815386691678,"[0.354, 0.417]"
BLEU-4,0.28796575462923196,0.25620901502880605,0.3204838366518836,"[0.256, 0.320]"
ROUGE-1,0.585879129232274,0.5648016907989547,0.6064572896511057,"[0.565, 0.606]"
ROUGE-2,0.36256949029813,0.3383810579276443,0.3873131146672662,"[0.338, 0.387]"
ROUGE-L,0.5350846193950928,0.5133106760992597,0.5569772318770586,"[0.513, 0.557]"
METEOR,0.5898051409040977,0.5650512765099901,0.6144392419171989,"[0.565, 0.614]"
CIDEr,0.7981189226508585,0.6824374557506475,0.9207098645963411,"[0.682, 0.921]"
BERTScore,0.6331808507442475,0.6132326675131917,0.6529249045476317,"[0.613, 0.653]"
CLIPScore,32.51952129602432,31.939835380017758,33.11156263723969,"[31.940, 33.112]"
RefCLIPScore,85.6439580321312,84.48488418459893,86.75469023883343,"[84.485, 86.755]"
Distinct-1,0.39151012034782967,0.37909787173011417,0.4041316834463304,"[0.379, 0.404]"
Distinct-2,0.686043719207091,0.6674783506351478,0.7043584644623323,"[0.667, 0.704]"
