Metric,Mean,CI_Lower,CI_Upper,Formatted_CI
BLEU-1,0.17902647013596304,0.16968514329155016,0.18914761258186924,"[0.170, 0.189]"
BLEU-2,0.11233742685704737,0.10528384529294224,0.12011482788129967,"[0.105, 0.120]"
BLEU-3,0.066732139128365,0.06086026897341562,0.0727453839940803,"[0.061, 0.073]"
BLEU-4,0.036598879485966775,0.03217236004722839,0.041345315630744665,"[0.032, 0.041]"
ROUGE-1,0.2085335056926693,0.19661067581574385,0.22105506425923038,"[0.197, 0.221]"
ROUGE-2,0.0847206402579081,0.07804742650242247,0.09211455807867727,"[0.078, 0.092]"
ROUGE-L,0.16591899623339096,0.1578228750497486,0.17410544801345748,"[0.158, 0.174]"
METEOR,0.3072671259095324,0.2947785412981084,0.31982837372124145,"[0.295, 0.320]"
CIDEr,3.6882909190466936e-15,4.2873270607225577e-35,1.1064850626172598e-14,"[0.000, 0.000]"
BERTScore,0.19454907208681108,0.1805105335023254,0.20836626011319456,"[0.181, 0.208]"
CLIPScore,29.08023564517498,28.345799319446087,29.793369376659392,"[28.346, 29.793]"
RefCLIPScore,77.25625789165497,75.7458402261138,78.77494156211614,"[75.746, 78.775]"
Distinct-1,0.5462816358532763,0.535979722664716,0.5565456242728287,"[0.536, 0.557]"
Distinct-2,0.8807079467533622,0.8677321195895746,0.8930603885655225,"[0.868, 0.893]"
