Metric,P_Value,Formatted_P,Significance,Direction
BLEU-1,3.896559845095909e-18,3.90e-18,Sig,(+)
BLEU-2,3.896559845095909e-18,3.90e-18,Sig,(+)
BLEU-3,4.0161556854627e-18,4.02e-18,Sig,(+)
BLEU-4,4.139373908714419e-18,4.14e-18,Sig,(+)
ROUGE-1,3.896559845095909e-18,3.90e-18,Sig,(+)
ROUGE-2,3.896559845095909e-18,3.90e-18,Sig,(+)
ROUGE-L,3.896559845095909e-18,3.90e-18,Sig,(+)
METEOR,6.12472726248735e-18,6.12e-18,Sig,(+)
CIDEr,3.896559845095909e-18,3.90e-18,Sig,(+)
BERTScore,3.896559845095909e-18,3.90e-18,Sig,(+)
CLIPScore,1.700125535642449e-06,1.70e-06,Sig,(+)
RefCLIPScore,6.99523696869083e-08,7.00e-08,Sig,(+)
Distinct-1,8.998385137455785e-17,9.00e-17,Sig,(-)
Distinct-2,1.6769992593993554e-15,1.68e-15,Sig,(-)
