Metric,Mean,CI_Lower,CI_Upper,Formatted_CI
BLEU-1,0.748601999070372,0.7234779448458134,0.7735360842071772,"[0.723, 0.774]"
BLEU-2,0.5667245050979494,0.537528116221957,0.5970265207658483,"[0.538, 0.597]"
BLEU-3,0.41291185820971615,0.38185271002445287,0.4445744403897794,"[0.382, 0.445]"
BLEU-4,0.2910517263043218,0.2596813080325181,0.3238404946703741,"[0.260, 0.324]"
ROUGE-1,0.616417073976264,0.596873176069267,0.6364515617058957,"[0.597, 0.636]"
ROUGE-2,0.36816557677035283,0.3422226009471074,0.3940517101941899,"[0.342, 0.394]"
ROUGE-L,0.5675092994849228,0.5443066511148643,0.5913168693511094,"[0.544, 0.591]"
METEOR,0.6055387261106514,0.5782516295014958,0.6322137427392709,"[0.578, 0.632]"
CIDEr,0.9408711281000431,0.823182990128151,1.0635803999952231,"[0.823, 1.064]"
BERTScore,0.6533049994707107,0.6347828492298722,0.6718328661322593,"[0.635, 0.672]"
CLIPScore,32.684265077114105,32.151565856486556,33.22564214840531,"[32.152, 33.226]"
RefCLIPScore,86.23046892881393,84.99930907040834,87.48084543794394,"[84.999, 87.481]"
Distinct-1,0.4330079320098714,0.4211731255277361,0.4449366842465796,"[0.421, 0.445]"
Distinct-2,0.7305250947669903,0.7122389702622964,0.7476787652880551,"[0.712, 0.748]"
