Metric,P_Value,Formatted_P,Significance,Direction
BLEU-1,5.8780526471862624e-09,5.88e-09,Sig,(-)
BLEU-2,5.75624329737253e-06,5.76e-06,Sig,(-)
BLEU-3,7.641358460082315e-07,7.64e-07,Sig,(-)
BLEU-4,8.084056448901311e-06,8.08e-06,Sig,(-)
ROUGE-1,0.0016037076318673508,0.002,Sig,(-)
ROUGE-2,0.001207679669153339,0.001,Sig,(-)
ROUGE-L,0.000463412265962207,4.63e-04,Sig,(-)
METEOR,0.08747921121495726,0.087,Not Sig,(-)
CIDEr,0.0006558976151462912,6.56e-04,Sig,(-)
BERTScore,6.945593503831391e-05,6.95e-05,Sig,(-)
CLIPScore,0.0032845835525171516,0.003,Sig,(-)
RefCLIPScore,0.015573048516663177,0.016,Sig,(-)
Distinct-1,7.657187130488632e-06,7.66e-06,Sig,(+)
Distinct-2,1.3571797346865746e-07,1.36e-07,Sig,(+)
