Metric,P_Value,Formatted_P,Significance,Direction
BLEU-1,5.6801390391666795e-18,5.68e-18,Sig,(+)
BLEU-2,8.023842397878198e-18,8.02e-18,Sig,(+)
BLEU-3,4.6041751652443625e-17,4.60e-17,Sig,(+)
BLEU-4,7.044317414078138e-16,7.04e-16,Sig,(+)
ROUGE-1,9.559150060462106e-18,9.56e-18,Sig,(+)
ROUGE-2,3.439791296779209e-16,3.44e-16,Sig,(+)
ROUGE-L,1.903450784800175e-17,1.90e-17,Sig,(+)
METEOR,1.4152626956877279e-14,1.42e-14,Sig,(+)
CIDEr,4.8816168731894246e-17,4.88e-17,Sig,(+)
BERTScore,6.504110965076778e-18,6.50e-18,Sig,(+)
CLIPScore,2.149011483752293e-09,2.15e-09,Sig,(+)
RefCLIPScore,5.49431748480872e-11,5.49e-11,Sig,(+)
Distinct-1,4.0161556854627e-18,4.02e-18,Sig,(-)
Distinct-2,3.896559845095909e-18,3.90e-18,Sig,(-)
