Metric,P_Value,Formatted_P,Significance,Direction
BLEU-1,3.7364676120617016e-15,3.74e-15,Sig,(+)
BLEU-2,3.374048120826996e-16,3.37e-16,Sig,(+)
BLEU-3,4.405428848631553e-15,4.41e-15,Sig,(+)
BLEU-4,4.338759045761872e-13,4.34e-13,Sig,(+)
ROUGE-1,1.114710784203997e-17,1.11e-17,Sig,(+)
ROUGE-2,2.5524373576333283e-15,2.55e-15,Sig,(+)
ROUGE-L,4.881359498790427e-17,4.88e-17,Sig,(+)
METEOR,1.080934894775585e-14,1.08e-14,Sig,(+)
CIDEr,1.200308279272379e-15,1.20e-15,Sig,(+)
BERTScore,1.2559216589141089e-17,1.26e-17,Sig,(+)
CLIPScore,3.5294333899988745e-05,3.53e-05,Sig,(+)
RefCLIPScore,2.5963974331067976e-07,2.60e-07,Sig,(+)
Distinct-1,3.896559845095909e-18,3.90e-18,Sig,(-)
Distinct-2,3.896559845095909e-18,3.90e-18,Sig,(-)
