Metric,Mean,CI_Lower,CI_Upper,Formatted_CI
BLEU-1,0.47441311263536046,0.4529503837397927,0.49648442142612703,"[0.453, 0.496]"
BLEU-2,0.310781670629993,0.28927187016126304,0.3329886111876047,"[0.289, 0.333]"
BLEU-3,0.2016137888642032,0.18069223553292155,0.2222315629200614,"[0.181, 0.222]"
BLEU-4,0.12757288033789396,0.11030356637109894,0.145819396066801,"[0.110, 0.146]"
ROUGE-1,0.4716056093712792,0.45248767779517696,0.490132539236314,"[0.452, 0.490]"
ROUGE-2,0.23401423260772858,0.21478996240904139,0.25361733843511375,"[0.215, 0.254]"
ROUGE-L,0.40500338875386377,0.38617319467628414,0.4243257723128161,"[0.386, 0.424]"
METEOR,0.5233690593315434,0.5004054881835865,0.5465431553444432,"[0.500, 0.547]"
CIDEr,0.16672841855907417,0.12929305563750548,0.20898926743199195,"[0.129, 0.209]"
BERTScore,0.49978151217103006,0.4807596591748297,0.517987727291882,"[0.481, 0.518]"
CLIPScore,32.62303438782692,32.10498906224966,33.123286752402784,"[32.105, 33.123]"
RefCLIPScore,81.44749873876572,79.9544538512826,82.8823956683278,"[79.954, 82.882]"
Distinct-1,0.3146678034969135,0.3051738640691975,0.32412360323252815,"[0.305, 0.324]"
Distinct-2,0.5147765511663364,0.49618797668873876,0.5336792292506269,"[0.496, 0.534]"
