Metric,Mean,CI_Lower,CI_Upper,Formatted_CI
BLEU-1,0.43158194491874946,0.41216249200056876,0.45131063806293253,"[0.412, 0.451]"
BLEU-2,0.23798851173893376,0.21865112963620525,0.2576725866723448,"[0.219, 0.258]"
BLEU-3,0.13756278344222095,0.11992419565745334,0.15583222736804556,"[0.120, 0.156]"
BLEU-4,0.08057893894167881,0.0676764329424472,0.0944071819818548,"[0.068, 0.094]"
ROUGE-1,0.3936555216597173,0.3756212338071912,0.41202582190922993,"[0.376, 0.412]"
ROUGE-2,0.15944081641048188,0.1439528209711937,0.17482563547425203,"[0.144, 0.175]"
ROUGE-L,0.3360871851355416,0.3193760294144059,0.3524396698626838,"[0.319, 0.352]"
METEOR,0.42316101284345636,0.39827261916030093,0.44881579583814546,"[0.398, 0.449]"
CIDEr,0.12262058252461001,0.09844095020368904,0.148810807262205,"[0.098, 0.149]"
BERTScore,0.3912687027454376,0.37509930320829155,0.4071425895914435,"[0.375, 0.407]"
CLIPScore,30.72575867176056,30.228902392089367,31.212757813185455,"[30.229, 31.213]"
RefCLIPScore,80.05007374286652,78.90288605839014,81.17957467734814,"[78.903, 81.180]"
Distinct-1,0.6909271461133035,0.6819255111882793,0.7009352953306356,"[0.682, 0.701]"
Distinct-2,0.9782609800518637,0.9741386176763468,0.9823007217591821,"[0.974, 0.982]"
